,New Code,OP,Description,Concatenated
1787,OP583,Communicate collection methods to data subjects,,Communicate collection methods to data subjects 
1788,OP584,Communicate categories of personal information collected,,Communicate categories of personal information collected 
1789,OP585,Communicate the sources from which personal information is collected,,Communicate the sources from which personal information is collected 
1790,OP586,Communicate new personal information processing purposes,,Communicate new personal information processing purposes 
1791,OP587,Communicate categories of personal information collected from third parties,,Communicate categories of personal information collected from third parties 
1792,OP588,Communicate commercial purposes for personal information collection,,Communicate commercial purposes for personal information collection 
1793,OP589,Communicate personal information retention schedule,,Communicate personal information retention schedule 
1794,OP590,Communicate use of technology for personal information processing,,Communicate use of technology for personal information processing 
1795,OP591,Communicate categories of third parties to whom personal information will be disclosed,,Communicate categories of third parties to whom personal information will be disclosed 
1796,OP592,Communicate foreseeable consequences of personal information processing,,Communicate foreseeable consequences of personal information processing 
1797,OP593,Communicate (automated) decision,,Communicate (automated) decision 
1798,OP599,Communicate the potential consequences of automated processing for data subject,Data subjects are informed of the significance and the envisaged consequences of the automated processing of their data and information,Communicate the potential consequences of automated processing for data subject Data subjects are informed of the significance and the envisaged consequences of the automated processing of their data and information
1799,OP4013,Inform affected individuals about the process to rectify the personal information used to render a decision ,"Develop and communicate a clear process to affected individuals that allows them to rectify their personal information used in decision-making processes. The process should be easily accessible and understandable, providing step-by-step guidance on how individuals can request corrections or updates to their personal data. The information should be made available through various channels, such as websites, forms, or customer service representatives, to ensure individuals are well-informed and can exercise their rights effectively. Regularly review and improve the rectification process based on feedback and best practices, maintaining transparency and responsiveness to individuals seeking to rectify their personal information.","Inform affected individuals about the process to rectify the personal information used to render a decision  Develop and communicate a clear process to affected individuals that allows them to rectify their personal information used in decision-making processes. The process should be easily accessible and understandable, providing step-by-step guidance on how individuals can request corrections or updates to their personal data. The information should be made available through various channels, such as websites, forms, or customer service representatives, to ensure individuals are well-informed and can exercise their rights effectively. Regularly review and improve the rectification process based on feedback and best practices, maintaining transparency and responsiveness to individuals seeking to rectify their personal information."
1800,OP4014,Provide privacy notice and policies to individuals at the source of collection ,"Ensure that individuals are promptly informed about the organization's privacy practices, policies, and notice at the point of data collection. Privacy notices should be easily accessible and presented in a clear, concise, and easily understandable manner to promote informed consent. When collecting personal information, provide individuals with a brief and easily accessible privacy notice that outlines the purpose of data collection, the legal basis for processing, and individuals' rights regarding their data. Consider using QR codes, signage, or easily accessible web links to direct individuals to comprehensive privacy policies for further details. Continuously update and improve privacy notices and policies to reflect changes in data collection practices and legal requirements, ensuring that individuals are well-informed about how their data is used and protected.","Provide privacy notice and policies to individuals at the source of collection  Ensure that individuals are promptly informed about the organization's privacy practices, policies, and notice at the point of data collection. Privacy notices should be easily accessible and presented in a clear, concise, and easily understandable manner to promote informed consent. When collecting personal information, provide individuals with a brief and easily accessible privacy notice that outlines the purpose of data collection, the legal basis for processing, and individuals' rights regarding their data. Consider using QR codes, signage, or easily accessible web links to direct individuals to comprehensive privacy policies for further details. Continuously update and improve privacy notices and policies to reflect changes in data collection practices and legal requirements, ensuring that individuals are well-informed about how their data is used and protected."
1801,OP4015,"Provide privacy notice related to the use of technology that can identify, locate or profile individuals","Create a specific Privacy Notice that addresses the use of technology capable of identifying, locating, or profiling individuals. The Privacy Notice should be tailored to inform individuals about the types of technology used, its capabilities, and the potential impact on their privacy. It should detail the purpose of technology deployment, such as location tracking, facial recognition, or profiling, and explain the legal basis for processing personal data through these technologies. The notice should clearly outline individuals' rights, including how they can exercise their right to consent, object, or seek redress in case of concerns related to the use of such technology. Regularly review and update the Privacy Notice to reflect any changes in technology usage, legal requirements, or organizational practices, ensuring continued transparency and compliance with privacy regulations for individuals whose data may be affected by the technology.","Provide privacy notice related to the use of technology that can identify, locate or profile individuals Create a specific Privacy Notice that addresses the use of technology capable of identifying, locating, or profiling individuals. The Privacy Notice should be tailored to inform individuals about the types of technology used, its capabilities, and the potential impact on their privacy. It should detail the purpose of technology deployment, such as location tracking, facial recognition, or profiling, and explain the legal basis for processing personal data through these technologies. The notice should clearly outline individuals' rights, including how they can exercise their right to consent, object, or seek redress in case of concerns related to the use of such technology. Regularly review and update the Privacy Notice to reflect any changes in technology usage, legal requirements, or organizational practices, ensuring continued transparency and compliance with privacy regulations for individuals whose data may be affected by the technology."
1802,OP4016,Provide privacy notice related to the use of automated decision-making at the time of decision-making,,Provide privacy notice related to the use of automated decision-making at the time of decision-making 
1803,OP4017,Provide privacy notice and information related to privacy policies to affected individuals ,"Implement a comprehensive process to provide privacy notices and relevant information regarding privacy policies to individuals whose personal information is collected, processed, or used. Ensure that privacy notices are easily accessible, clear, and concise, and that they outline the purposes of data collection, processing, and any relevant disclosures. The privacy notice should also inform individuals of their rights regarding their personal information and how to exercise those rights. Regularly update and maintain the privacy notice to align with changes in data practices and legal requirements, fostering transparency and trust between the organization and the affected individuals.","Provide privacy notice and information related to privacy policies to affected individuals  Implement a comprehensive process to provide privacy notices and relevant information regarding privacy policies to individuals whose personal information is collected, processed, or used. Ensure that privacy notices are easily accessible, clear, and concise, and that they outline the purposes of data collection, processing, and any relevant disclosures. The privacy notice should also inform individuals of their rights regarding their personal information and how to exercise those rights. Regularly update and maintain the privacy notice to align with changes in data practices and legal requirements, fostering transparency and trust between the organization and the affected individuals."
1804,OP4018,Provide the designated point of contact to assist individuals to understand consent requirements,"Designate a point of contact within the organization to serve as a resource for individuals seeking assistance or clarification on consent requirements. This designated contact should be readily accessible and well-versed in the organization's consent practices, providing clear and helpful guidance to individuals who have questions or concerns about the consent process. The point of contact should proactively assist individuals in understanding their rights and the implications of providing consent, helping to build transparency and facilitate informed decision-making.","Provide the designated point of contact to assist individuals to understand consent requirements Designate a point of contact within the organization to serve as a resource for individuals seeking assistance or clarification on consent requirements. This designated contact should be readily accessible and well-versed in the organization's consent practices, providing clear and helpful guidance to individuals who have questions or concerns about the consent process. The point of contact should proactively assist individuals in understanding their rights and the implications of providing consent, helping to build transparency and facilitate informed decision-making."
1805,OP4019,"Establish capabilities to provide reasons, principal factors and parameters that led to an automated decision to affected individuals","Establish robust capabilities to provide explanations to affected individuals about automated decisions that impact them. Ensure that the explanations are meaningful and understandable, clearly outlining the principal factors and parameters that contributed to the automated decision. The system should be able to provide detailed reasons behind the decision in a way that empowers individuals to comprehend how their data was processed. Continuously monitor and improve the system's capabilities to deliver clear explanations, promoting accountability and trust in the organization's automated decision-making processes.","Establish capabilities to provide reasons, principal factors and parameters that led to an automated decision to affected individuals Establish robust capabilities to provide explanations to affected individuals about automated decisions that impact them. Ensure that the explanations are meaningful and understandable, clearly outlining the principal factors and parameters that contributed to the automated decision. The system should be able to provide detailed reasons behind the decision in a way that empowers individuals to comprehend how their data was processed. Continuously monitor and improve the system's capabilities to deliver clear explanations, promoting accountability and trust in the organization's automated decision-making processes."
1806,OP4010,Provide the designated point of contact for inquiries related to the use of automated decision-making systems,"Designate a point of contact within the organization to handle inquiries from individuals related to automated decision-making systems. The designated contact should be knowledgeable about the organization's automated decision-making processes, be able to address questions promptly, and provide further information or clarification as needed. This ensures that individuals have a direct channel to seek information and resolution regarding automated decisions, promoting transparency and accountability.","Provide the designated point of contact for inquiries related to the use of automated decision-making systems Designate a point of contact within the organization to handle inquiries from individuals related to automated decision-making systems. The designated contact should be knowledgeable about the organization's automated decision-making processes, be able to address questions promptly, and provide further information or clarification as needed. This ensures that individuals have a direct channel to seek information and resolution regarding automated decisions, promoting transparency and accountability."
1807,OP4011,Provide the designated point of contact to request access or modifications to personal information,"Establish a designated point of contact within the organization to manage and facilitate requests from individuals to access, delete, or modify their personal information. The designated contact should handle such requests promptly and accurately, ensuring that individuals' rights are respected and their requests are fulfilled within the prescribed timeframes. Maintain a streamlined process for handling these requests and provide clear guidance to individuals on how to initiate such inquiries, enhancing transparency and ensuring compliance with data protection regulations.","Provide the designated point of contact to request access or modifications to personal information Establish a designated point of contact within the organization to manage and facilitate requests from individuals to access, delete, or modify their personal information. The designated contact should handle such requests promptly and accurately, ensuring that individuals' rights are respected and their requests are fulfilled within the prescribed timeframes. Maintain a streamlined process for handling these requests and provide clear guidance to individuals on how to initiate such inquiries, enhancing transparency and ensuring compliance with data protection regulations."
1808,OP4008,"Designate point of contact to manage requests to access, delete or modify personal information","Designate a dedicated point of contact within the organization to efficiently manage and facilitate requests from individuals pertaining to their personal information. This designated contact will serve as the primary interface for individuals seeking to access, delete, or modify their personal data in accordance with applicable data protection regulations. The point of contact will handle such requests with diligence, ensuring prompt responses and appropriate actions to fulfill individuals' rights within the required timeframes. Additionally, the designated contact will provide clear guidance and assistance to individuals throughout the request process, empowering them to exercise their data rights effectively. By centralizing and streamlining these requests, the organization can uphold transparency, accountability, and compliance with privacy laws while building trust with data subjects.","Designate point of contact to manage requests to access, delete or modify personal information Designate a dedicated point of contact within the organization to efficiently manage and facilitate requests from individuals pertaining to their personal information. This designated contact will serve as the primary interface for individuals seeking to access, delete, or modify their personal data in accordance with applicable data protection regulations. The point of contact will handle such requests with diligence, ensuring prompt responses and appropriate actions to fulfill individuals' rights within the required timeframes. Additionally, the designated contact will provide clear guidance and assistance to individuals throughout the request process, empowering them to exercise their data rights effectively. By centralizing and streamlining these requests, the organization can uphold transparency, accountability, and compliance with privacy laws while building trust with data subjects."
1809,OP4009,Develop privacy impact assessment guidelines and templates,"Create comprehensive guidelines and templates for conducting privacy impact assessments (PIAs). These guidelines should outline the scope, objectives, and steps involved in conducting a PIA to assess the privacy risks associated with specific projects, systems, or initiatives. The templates should facilitate the systematic documentation of privacy risks, mitigation measures, and compliance efforts. Ensure that these guidelines and templates align with relevant privacy laws and regulations and are consistently applied across the organization to promote privacy by design and safeguard individuals' data.","Develop privacy impact assessment guidelines and templates Create comprehensive guidelines and templates for conducting privacy impact assessments (PIAs). These guidelines should outline the scope, objectives, and steps involved in conducting a PIA to assess the privacy risks associated with specific projects, systems, or initiatives. The templates should facilitate the systematic documentation of privacy risks, mitigation measures, and compliance efforts. Ensure that these guidelines and templates align with relevant privacy laws and regulations and are consistently applied across the organization to promote privacy by design and safeguard individuals' data."
1810,OP4020,Develop data sharing agreement guidelines and templates,"Develop guidelines and templates for data sharing agreements to govern the exchange of personal information with third parties. These guidelines should outline the key elements to be included in data sharing agreements, such as data security measures, purposes of data sharing, data retention periods, and responsibilities of each party. The templates should serve as a standardized framework to facilitate the negotiation and drafting of data sharing agreements, ensuring that all agreements adhere to privacy and data protection requirements.","Develop data sharing agreement guidelines and templates Develop guidelines and templates for data sharing agreements to govern the exchange of personal information with third parties. These guidelines should outline the key elements to be included in data sharing agreements, such as data security measures, purposes of data sharing, data retention periods, and responsibilities of each party. The templates should serve as a standardized framework to facilitate the negotiation and drafting of data sharing agreements, ensuring that all agreements adhere to privacy and data protection requirements."
1811,OP4012,Provide details on the use of automated decision-making systems to render a decision  ,"Proactively provide individuals with clear and concise details on the use of automated decision-making systems to render decisions that affect them. The information should be easily accessible, prominently displayed, and readily available to affected individuals. Disclose the purpose, scope, and potential impacts of automated decisions, as well as the types of personal information used in the decision-making process. This transparency fosters trust and understanding between the organization and individuals, empowering them to make informed choices and exercise their rights regarding automated decision-making.","Provide details on the use of automated decision-making systems to render a decision   Proactively provide individuals with clear and concise details on the use of automated decision-making systems to render decisions that affect them. The information should be easily accessible, prominently displayed, and readily available to affected individuals. Disclose the purpose, scope, and potential impacts of automated decisions, as well as the types of personal information used in the decision-making process. This transparency fosters trust and understanding between the organization and individuals, empowering them to make informed choices and exercise their rights regarding automated decision-making."
1812,OP2805,Disclose to applicant that the unfavorable decision is based on consultation of financial reports,"Communicate to the an affected applicant that the unfavrable decision about their application, leading to the refusal of the application or its acceptance with less advantageous conditions, is in part based on consultation of financials records or recommendations as to their solvency","Disclose to applicant that the unfavorable decision is based on consultation of financial reports Communicate to the an affected applicant that the unfavrable decision about their application, leading to the refusal of the application or its acceptance with less advantageous conditions, is in part based on consultation of financials records or recommendations as to their solvency"
1813,OP600,Define project strategy to restrict personal information processing,"Establishing and defining methods to restrict processing of personal information, as per the context of the project","Define project strategy to restrict personal information processing Establishing and defining methods to restrict processing of personal information, as per the context of the project"
1814,OP601,Implement procedures to restrict personal information processing,"Implementing the established methods to restrict processing of personal information, as per the context of the project","Implement procedures to restrict personal information processing Implementing the established methods to restrict processing of personal information, as per the context of the project"
1815,OP602,Demonstrate that PI processing is restricted,Establishing the ability to formally demonstrate that the processing of PI is restricted,Demonstrate that PI processing is restricted Establishing the ability to formally demonstrate that the processing of PI is restricted
1816,OP603,Communicate PI restriction/unrestriction to data subjects,,Communicate PI restriction/unrestriction to data subjects 
1817,OP604,Establish mechanisms to stop PI processing following objection,,Establish mechanisms to stop PI processing following objection 
1818,OP2372,Implement mechanisms to stop personal information processing following objection,"Establishing and implementating processes and mechanisms to limit and stop personal information processing, upon data subjects' requests","Implement mechanisms to stop personal information processing following objection Establishing and implementating processes and mechanisms to limit and stop personal information processing, upon data subjects' requests"
1819,OP605,Cease personal information processing as requested by data subject,,Cease personal information processing as requested by data subject 
1820,OP606,Cease personal information processing for marketing purposes,,Cease personal information processing for marketing purposes 
1821,OP607,Define the position regarding AI opt-out option  ,,Define the position regarding AI opt-out option   
1822,OP608,Establish an AI opt-out mechanism for data subjects,"Enabling the end-user or affected stakeholder to opt-out from using/relying on the AI system, and defining alternate mechanism and processes","Establish an AI opt-out mechanism for data subjects Enabling the end-user or affected stakeholder to opt-out from using/relying on the AI system, and defining alternate mechanism and processes"
1823,OP609,Establish procedures to receive & process requests to opt-out,Establishment of a capability for data subjects to request the erasure of their PI of all organization's systems and processsing / answering the requests by the organization,Establish procedures to receive & process requests to opt-out Establishment of a capability for data subjects to request the erasure of their PI of all organization's systems and processsing / answering the requests by the organization
1824,OP610,Communicate opt-out option to data subjects concerning the use of AI,Informing the end-user or affected stakeholder of their ability to opt-out from using/relying on the AI system,Communicate opt-out option to data subjects concerning the use of AI Informing the end-user or affected stakeholder of their ability to opt-out from using/relying on the AI system
1825,OP612,Monitor requests to opt-out from AI usage,,Monitor requests to opt-out from AI usage 
1826,OP613,Establish an automated decision opt-out mechanism for data subjects,Defining and establishing mechanisms to enable data subjects to opt-out from automated decisions,Establish an automated decision opt-out mechanism for data subjects Defining and establishing mechanisms to enable data subjects to opt-out from automated decisions
1827,OP614,Define procedures to intervene in automated decision-making process,,Define procedures to intervene in automated decision-making process 
1828,OP615,Communicate opt-out option to data subjects concerning decisions based on automated processing,"Process, responsibilities and tools definition and enforcement for communicating opt out rights and procedures to data subjects","Communicate opt-out option to data subjects concerning decisions based on automated processing Process, responsibilities and tools definition and enforcement for communicating opt out rights and procedures to data subjects"
1829,OP616,Remove data subjects from automated decision-making,"Capability to collect, process and respond to opt out requests from data subjects","Remove data subjects from automated decision-making Capability to collect, process and respond to opt out requests from data subjects"
1830,OP617,Attest that decision is not based solely on automated processing,Definition and enforcement of a process for assessing and demonstrating that decision making is not solely based on automated processing,Attest that decision is not based solely on automated processing Definition and enforcement of a process for assessing and demonstrating that decision making is not solely based on automated processing
1831,OP618,Monitor requests to opt-out from automated decision-making,Capability to monitor and identify requests to opt-out from automated decision-making,Monitor requests to opt-out from automated decision-making Capability to monitor and identify requests to opt-out from automated decision-making
1832,OP619,Periodically review opt-out processes ,The periodic review of opt-out mechanisms to ensure proper and effective implementation ,Periodically review opt-out processes  The periodic review of opt-out mechanisms to ensure proper and effective implementation 
1833,OP594,Define notification message for data subjects following decision based on automated processing  ,,Define notification message for data subjects following decision based on automated processing   
1834,OP595,Communicate rendered decision based on automated personal information processing,,Communicate rendered decision based on automated personal information processing 
1835,OP2705,Designate a point of contact for all inquiries related to the use of automated decisions,"Designate a point of contact within the organization to handle all inquiries related to the use of automated decision-making systems. This designated contact will serve as a knowledgeable resource for individuals seeking information about how automated decisions are made, the factors and parameters involved in the decision-making process, and the implications of such decisions on the individual's rights and interests. The point of contact will respond to inquiries promptly, providing clear and concise explanations about the automated decision-making procedures and addressing any concerns raised by individuals. By designating a specific contact for such inquiries, the organization demonstrates transparency and accountability in its use of automated decision-making systems and ensures that individuals' rights and privacy are upheld.","Designate a point of contact for all inquiries related to the use of automated decisions Designate a point of contact within the organization to handle all inquiries related to the use of automated decision-making systems. This designated contact will serve as a knowledgeable resource for individuals seeking information about how automated decisions are made, the factors and parameters involved in the decision-making process, and the implications of such decisions on the individual's rights and interests. The point of contact will respond to inquiries promptly, providing clear and concise explanations about the automated decision-making procedures and addressing any concerns raised by individuals. By designating a specific contact for such inquiries, the organization demonstrates transparency and accountability in its use of automated decision-making systems and ensures that individuals' rights and privacy are upheld."
1836,OP1835,Define procedures to process requests concerning automated decisions,Step-by-step procedures are defined to guide personnel through the processing of requests to be informed of decisions based solely on automated decision-making. Defined procedures must cover how to identify personal information used to render automated decision and how to access the reasons and principal factors and parameters that led to the decision.,Define procedures to process requests concerning automated decisions Step-by-step procedures are defined to guide personnel through the processing of requests to be informed of decisions based solely on automated decision-making. Defined procedures must cover how to identify personal information used to render automated decision and how to access the reasons and principal factors and parameters that led to the decision.
1837,OP596,Communicate personal information used to render decision to data subject,Organization has the capability to communicate the personal information that was processed by an automated-decision system to a data subject who has been subject to a decision based solely on the automated processing of personal information.,Communicate personal information used to render decision to data subject Organization has the capability to communicate the personal information that was processed by an automated-decision system to a data subject who has been subject to a decision based solely on the automated processing of personal information.
1838,OP597,"Communicate reasons, principal factors, and parameters that led to decision to data subject",Organization has the capability to communicate the reasons and principal factors and parameters that led to a decision taken by an automated system to data subjects who have been subject of a decision based solely on the automated processing of personal information.,"Communicate reasons, principal factors, and parameters that led to decision to data subject Organization has the capability to communicate the reasons and principal factors and parameters that led to a decision taken by an automated system to data subjects who have been subject of a decision based solely on the automated processing of personal information."
1839,OP598,Communicate the right to rectification of personal information used to render decision,Organization has the capability to communicate the right to rectification of personal information used in an automated-decision making system to data subjects who have requested additional information concerning automated decisions.,Communicate the right to rectification of personal information used to render decision Organization has the capability to communicate the right to rectification of personal information used in an automated-decision making system to data subjects who have requested additional information concerning automated decisions.
1840,OP620,Define guidelines to assess and monitor the quality of personal information,Establishing guidelines to assess and monitor the quality of personal information,Define guidelines to assess and monitor the quality of personal information Establishing guidelines to assess and monitor the quality of personal information
1841,OP621,Identify inaccurate personal information,"Execution of processes to evaluate the accuracy of personal information, and identify any errors, inaccuracies and/or discrepencies","Identify inaccurate personal information Execution of processes to evaluate the accuracy of personal information, and identify any errors, inaccuracies and/or discrepencies"
1842,OP622,Correct or erase inaccurate personal information,"Execution of processes to rectify, or when applicable erase, inaccurate personal information","Correct or erase inaccurate personal information Execution of processes to rectify, or when applicable erase, inaccurate personal information"
1843,OP623,Record that inaccurate personal information is corrected or erased,Documenting and recording the outcome of the personal information recrification processes,Record that inaccurate personal information is corrected or erased Documenting and recording the outcome of the personal information recrification processes
1844,OP624,Define procedures and mechanisms to rectify personal information,Establishment of a capability for data subjects to request access to their personal information and/or make a correction request of their PI and processsing / answering the requests by the organization,Define procedures and mechanisms to rectify personal information Establishment of a capability for data subjects to request access to their personal information and/or make a correction request of their PI and processsing / answering the requests by the organization
1845,OP2379,Implement mechanisms to rectify personal information,Establishment of a capability for data subjects to request access to their personal information and/or make a correction request of their PI and processsing / answering the requests by the organization,Implement mechanisms to rectify personal information Establishment of a capability for data subjects to request access to their personal information and/or make a correction request of their PI and processsing / answering the requests by the organization
1846,OP625,Rectify personal information as requested by data subject,"Process to perform a PI correction after assessment (amending, adding, and deleting Personal In-formation).  Where appropriate, the corrected Personal Information is transmitted to third parties having access to the information in question.","Rectify personal information as requested by data subject Process to perform a PI correction after assessment (amending, adding, and deleting Personal In-formation).  Where appropriate, the corrected Personal Information is transmitted to third parties having access to the information in question."
1847,OP626,Record that personal information has been rectified,Definition and enforcement of a process for assessing and demonstrating that correction requests have been processed/answered within the defined timeframe and that data subjects PI have been effectively corrected.,Record that personal information has been rectified Definition and enforcement of a process for assessing and demonstrating that correction requests have been processed/answered within the defined timeframe and that data subjects PI have been effectively corrected.
1848,OP627,Transmit rectified personal information to stakeholders,"Sending a confirmation and a copy of rectified personal information to affected stakeholders, including the data subject, and other parties that hold or process the personal information","Transmit rectified personal information to stakeholders Sending a confirmation and a copy of rectified personal information to affected stakeholders, including the data subject, and other parties that hold or process the personal information"
1849,OP628,Communicate rectified PI to third party to which the PI had been disclosed,,Communicate rectified PI to third party to which the PI had been disclosed 
1850,OP2703,Establish a procedure to receive and process requests to access personal information,Creating and establishing procedure for processing requests from individuals who want to access their personal information held by the organization,Establish a procedure to receive and process requests to access personal information Creating and establishing procedure for processing requests from individuals who want to access their personal information held by the organization
1851,OP2704,"Establish a process to communicate the requirements related to the release, modification, or deletion of personal information","Establish a clear and structured process to effectively communicate the requirements pertaining to the release, modification, or deletion of personal information within the organization. This process should encompass guidelines and procedures for handling such requests in accordance with relevant privacy laws and regulations. It should outline the steps involved in submitting and processing these requests, the designated point of contact responsible for managing them, and the expected timelines for response and action. The process should also incorporate mechanisms to ensure proper verification of requestors' identities and their rights to access, modify, or delete their personal information. By establishing this process, the organization enhances transparency, enables efficient management of personal information requests, and ensures compliance with privacy requirements while safeguarding individuals' rights and privacy.","Establish a process to communicate the requirements related to the release, modification, or deletion of personal information Establish a clear and structured process to effectively communicate the requirements pertaining to the release, modification, or deletion of personal information within the organization. This process should encompass guidelines and procedures for handling such requests in accordance with relevant privacy laws and regulations. It should outline the steps involved in submitting and processing these requests, the designated point of contact responsible for managing them, and the expected timelines for response and action. The process should also incorporate mechanisms to ensure proper verification of requestors' identities and their rights to access, modify, or delete their personal information. By establishing this process, the organization enhances transparency, enables efficient management of personal information requests, and ensures compliance with privacy requirements while safeguarding individuals' rights and privacy."
1852,OP629,Define formats to provide personal information to data subjects,,Define formats to provide personal information to data subjects 
1853,OP630,Establish enterprise procedures to retrieve and transfer personal information,,Establish enterprise procedures to retrieve and transfer personal information 
1854,OP631,Communicate personal information existence to data subject,"Sending a formal answer, in a reply to an inquiry by the data subject, confirming whether or not the organisation holds personal information about them","Communicate personal information existence to data subject Sending a formal answer, in a reply to an inquiry by the data subject, confirming whether or not the organisation holds personal information about them"
1855,OP632,Communicate the cost for access to personal information,Informing the data subject of any expenses relative to thier request to access their personal information held by the organisation,Communicate the cost for access to personal information Informing the data subject of any expenses relative to thier request to access their personal information held by the organisation
1856,OP633,Transmit personal information copy to data subject,Communicating the requested personal information to data subjects in a secure and portable format,Transmit personal information copy to data subject Communicating the requested personal information to data subjects in a secure and portable format
1857,OP634,Transmit personal information in alternative format to data subject,,Transmit personal information in alternative format to data subject 
1858,OP1821,Define roles and responsibilities for data portability requests,A clear RACI matrix is completed to demonstrate the different roles & responsibilities involved in the processing of data portability requests. ,Define roles and responsibilities for data portability requests A clear RACI matrix is completed to demonstrate the different roles & responsibilities involved in the processing of data portability requests. 
1859,OP635,Establish interoperable formats for data portability,"Organization must define the formats to be used to comply to the right to data portability. The format must allow personal information to be transferred in a structured, commonly-used, and machine readable manner. The most common and easiest formats to be used are CSV, XML, and JSON. ","Establish interoperable formats for data portability Organization must define the formats to be used to comply to the right to data portability. The format must allow personal information to be transferred in a structured, commonly-used, and machine readable manner. The most common and easiest formats to be used are CSV, XML, and JSON. "
1860,OP1819,Identify portable data scope,"Organization must define the types of data and level of detail they must make portable based on the regulatory requirements. 
Generally, portable data is the personal information collected from the data subject which can be simple to identify (eg. mailing address, username, age, etc.). However, it also means that data collected as a result from observing an individual's activities (eg. where using a device or service). This may include:
- History of website usage or search activities
- Traffic and location data
- 'Raw' data processed by connected objects such as smart meters and wearable devices","Identify portable data scope Organization must define the types of data and level of detail they must make portable based on the regulatory requirements. 
Generally, portable data is the personal information collected from the data subject which can be simple to identify (eg. mailing address, username, age, etc.). However, it also means that data collected as a result from observing an individual's activities (eg. where using a device or service). This may include:
- History of website usage or search activities
- Traffic and location data
- 'Raw' data processed by connected objects such as smart meters and wearable devices"
1861,OP1820,Establish procedures to extract portable data from systems,Organization must define step-by-step procedures to extract the personal information (which is in-scope for data portability) from their systems and transform such personal information in one of the defined interoperable formats. Data flow diagrams should be defined to demonstrate the flow of data throughout the organization once a data portability request is received,Establish procedures to extract portable data from systems Organization must define step-by-step procedures to extract the personal information (which is in-scope for data portability) from their systems and transform such personal information in one of the defined interoperable formats. Data flow diagrams should be defined to demonstrate the flow of data throughout the organization once a data portability request is received
1862,OP2570,Design and implement mechanisms to locate and retrieve personal information from systems,Project must design mechanisms to extract the personal information (which is in-scope for data portability) from their systems and transform such personal information in one of the defined interoperable formats. Data flow diagrams should be defined to demonstrate the flow of data throughout the organization once a data portability request is received,Design and implement mechanisms to locate and retrieve personal information from systems Project must design mechanisms to extract the personal information (which is in-scope for data portability) from their systems and transform such personal information in one of the defined interoperable formats. Data flow diagrams should be defined to demonstrate the flow of data throughout the organization once a data portability request is received
